beta_profile,seed,replicate_id,system,system_raw,root_z_true,log_B_top_observed,log_B_subfeature_observed,log_B_leaf_latent_observed,log_B_binary_perfect_leaf,log_B_binary_noisy_K6,log_B_ordinal_binary_clamped,log_B_ordinal_three_state_clamped,rho_top_observed,rho_subfeature_observed,rho_leaf_latent_observed,rho_binary_perfect_leaf,rho_binary_noisy_K6,rho_ordinal_binary_clamped,rho_ordinal_three_state_clamped,loss_top_to_subfeature,loss_subfeature_to_leaf_latent,loss_leaf_latent_to_binary_K6,loss_binary_perfect_to_binary_K6,loss_binary_K6_to_ordinal_binary,loss_ordinal_binary_to_three_state
production_prior_mean,20260511,0,Chicken,Chicken,1,-3.5473798918402375,-0.6305956822791893,-0.403290361243954,-0.403290361243954,-0.4037948206567279,-0.4032903612439327,0.18624692104810947,0.005727012408526881,0.09621262041750507,0.11787299887798991,0.11787299887798991,0.11782055582583442,0.11787299887799213,0.19416182416914668,2.9167842095610483,0.22730532103523526,-0.0005044594127738833,-0.0005044594127738833,0.0005044594127951996,0.5895372822920422
production_prior_mean,20260511,0,LLMs,2024 Leading Chat LLMs,0,-3.50963956385739,-2.1398091601566005,-0.017210558552861244,-0.017210558552861244,-0.3905298600545848,-0.017210558552847033,0.27904449168948986,0.005945972398942936,0.022994278758665845,0.16429000453732767,0.16429000453732767,0.11920630574560437,0.16429000453732961,0.2090942962551925,1.3698304037007896,2.1225986016037393,-0.37331930150172354,-0.37331930150172354,0.37331930150173775,0.2962550502423369
production_prior_mean,20260511,1,Chicken,Chicken,0,-4.933674252960128,-0.581352621519186,0.04631310236719699,0.04631310236719699,0.046307508067016556,0.04631310236743502,-0.9427061096647549,0.0014379293816903645,0.10058055603077158,0.1731987142828626,0.1731987142828626,0.17319791317539657,0.17319871428289668,0.07228258002667894,4.352321631440942,0.627665723886383,-5.59430018043372e-06,-5.59430018043372e-06,5.5943004184655365e-06,-0.9890192120321899
production_prior_mean,20260511,1,LLMs,2024 Leading Chat LLMs,1,4.232762457958392,0.8788613963916974,-0.775823653870372,-0.775823653870372,-0.7758262488247993,-0.7758236538685424,1.6264854084476497,0.9323477053174287,0.3250682276924256,0.08430350224307592,0.08430350224307592,0.0843033019220956,0.08430350224321717,0.5042617707919242,-3.353901061566695,-1.6546850502620694,-2.5949544273373704e-06,-2.5949544273373704e-06,2.594956256984915e-06,2.402309062316192
production_prior_mean,20260511,2,Chicken,Chicken,1,4.600487238083709,1.2471441139885537,-0.08869331976508477,-0.08869331976508477,-0.08808203454805152,-0.0886933205234186,1.101540228697047,0.9521681233067515,0.4104044156480109,0.15470949453185165,0.15470949453185165,0.15478945190438373,0.15470949443268095,0.3756864867028413,-3.3533431240951557,-1.3358374337536385,0.0006112852170332417,0.0006112852170332417,-0.0006112859753670818,1.1902335492204656
production_prior_mean,20260511,2,LLMs,2024 Leading Chat LLMs,0,0.03613904661587264,-0.1693925049195728,-0.49219123129486064,-0.49219123129486064,-0.6257074703738681,-0.492191231418758,1.232815436939518,0.17174662072621247,0.14444761394069394,0.10893857786208132,0.10893857786208132,0.09663851834865411,0.10893857785005448,0.40694177249640523,-0.20553155153544544,-0.32279872637528784,-0.13351623907900745,-0.13351623907900745,0.1335162389551101,1.7250066683582759
production_prior_mean,20260511,3,Chicken,Chicken,0,-5.994546213645391,-3.3658954440271605,-1.7983882385200545,-1.7983882385200545,-1.7983829640238298,-1.7983882385272523,-1.6577652283340854,0.0004982131983442095,0.006858847638322979,0.03205177140964156,0.03205177140964156,0.03205193504841813,0.03205177140941826,0.03671361316090862,2.6286507696182304,1.567507205507106,5.274496224672021e-06,5.274496224672021e-06,-5.274503422469934e-06,0.14062301019316692
production_prior_mean,20260511,3,LLMs,2024 Leading Chat LLMs,1,4.600487238083709,0.39856500857043575,0.06571352996516922,0.06571352996516922,0.06570756688606139,0.06571352997264057,-0.7787906994505533,0.9521681233067515,0.22954663711517237,0.17599451125731105,0.17599451125731105,0.1759936464906064,0.17599451125839455,0.0840747392630089,-4.201922229513274,-0.33285147860526654,-5.963079107829117e-06,-5.963079107829117e-06,5.963086579185983e-06,-0.8445042294231939
production_prior_mean,20260511,4,Chicken,Chicken,1,-0.04390366105766397,-1.5951480629745225,-0.9734025551840304,-0.9734025551840304,-0.9734795139768551,-0.9734025551840091,-0.8188338258721046,0.16065783764798236,0.038993508684519014,0.0702509769200487,0.0702509769200487,0.07024595046292825,0.0702509769200501,0.08104208507553236,-1.5512444019168585,0.6217455077904921,-7.695879282465512e-05,-7.695879282465512e-05,7.69587928459714e-05,0.15456872931190446
production_prior_mean,20260511,4,LLMs,2024 Leading Chat LLMs,0,-0.3693260614922915,-0.31580181257987006,0.08040477323162776,0.08040477323162776,0.08037091140838015,0.08040477323055484,1.2680525001208593,0.12145066066910314,0.12727840737364118,0.17813519310425807,0.17813519310425807,0.1781302356842198,0.178135193104101,0.4154729831519234,0.05352424891242147,0.3962065858114978,-3.3861823247605116e-05,-3.3861823247605116e-05,3.3861822174685585e-05,1.1876477268903045
