dgp,fit,leaf,design,estimand,system,top_feature,category,rating_count,observed_count,observed_proportion,pred_count_mean,pred_count_p03,pred_count_p97,pred_prop_mean,pred_prop_p03,pred_prop_p97,prop_error,interval_includes_observed_prop
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,0,48,10.0,0.20833333333333334,12.54,5.0,22.0,0.26125,0.10416666666666667,0.4583333333333333,0.05291666666666664,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,1,48,8.0,0.16666666666666666,6.309,2.0,12.0,0.1314375,0.041666666666666664,0.25,-0.035229166666666645,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,2,48,4.0,0.08333333333333333,4.5765,1.0,9.0,0.09534375,0.020833333333333332,0.1875,0.012010416666666676,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,3,48,8.0,0.16666666666666666,7.9005,3.0,14.0,0.16459375,0.0625,0.2916666666666667,-0.0020729166666666465,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,4,48,8.0,0.16666666666666666,4.1025,1.0,9.0,0.08546875,0.020833333333333332,0.1875,-0.08119791666666666,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,5,48,6.0,0.125,5.76875,1.0,11.0,0.12018229166666666,0.020833333333333332,0.22916666666666666,-0.004817708333333337,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,6,48,4.0,0.08333333333333333,6.80275,2.0,14.0,0.14172395833333332,0.041666666666666664,0.2916666666666667,0.05839062499999999,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,0,30,3.0,0.1,7.82275,2.0,15.0,0.2607583333333333,0.06666666666666667,0.5,0.1607583333333333,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,1,30,4.0,0.13333333333333333,3.9385,1.0,8.0,0.13128333333333336,0.03333333333333333,0.26666666666666666,-0.0020499999999999685,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,2,30,4.0,0.13333333333333333,2.93725,0.0,7.0,0.09790833333333333,0.0,0.23333333333333334,-0.035425,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,3,30,6.0,0.2,4.89675,1.0,9.0,0.163225,0.03333333333333333,0.3,-0.036775,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,4,30,1.0,0.03333333333333333,2.59325,0.0,6.0,0.08644166666666667,0.0,0.2,0.053108333333333334,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,5,30,6.0,0.2,3.629,0.0,8.0,0.12096666666666668,0.0,0.26666666666666666,-0.07903333333333333,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,6,30,6.0,0.2,4.1825,1.0,9.0,0.1394166666666667,0.03333333333333333,0.3,-0.06058333333333332,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Hierarchical Organization,0,3,0.0,0.0,0.83175,0.0,3.0,0.27725,0.0,1.0,0.27725,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Hierarchical Organization,1,3,0.0,0.0,0.41075,0.0,2.0,0.1369166666666667,0.0,0.6666666666666666,0.1369166666666667,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Hierarchical Organization,2,3,0.0,0.0,0.306,0.0,2.0,0.102,0.0,0.6666666666666666,0.102,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Hierarchical Organization,3,3,2.0,0.6666666666666666,0.50775,0.0,2.0,0.16925,0.0,0.6666666666666666,-0.4974166666666666,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Hierarchical Organization,4,3,1.0,0.3333333333333333,0.24425,0.0,1.0,0.08141666666666665,0.0,0.3333333333333333,-0.2519166666666667,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Hierarchical Organization,5,3,0.0,0.0,0.338,0.0,2.0,0.11266666666666665,0.0,0.6666666666666666,0.11266666666666665,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Hierarchical Organization,6,3,0.0,0.0,0.3615,0.0,2.0,0.1205,0.0,0.6666666666666666,0.1205,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Integration,0,8,0.0,0.0,2.161,0.0,5.0,0.270125,0.0,0.625,0.270125,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Integration,1,8,0.0,0.0,1.098,0.0,3.0,0.13725,0.0,0.375,0.13725,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Integration,2,8,0.0,0.0,0.798,0.0,3.0,0.09975,0.0,0.375,0.09975,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Integration,3,8,1.0,0.125,1.32725,0.0,4.0,0.16590625,0.0,0.5,0.040906250000000005,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Integration,4,8,2.0,0.25,0.66425,0.0,2.0,0.08303125,0.0,0.25,-0.16696875,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Integration,5,8,1.0,0.125,0.95325,0.0,3.0,0.11915625,0.0,0.375,-0.005843749999999995,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Integration,6,8,4.0,0.5,0.99825,0.0,3.0,0.12478125,0.0,0.375,-0.37521875,False
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Modularity,0,24,11.0,0.4583333333333333,6.639,2.0,13.0,0.276625,0.08333333333333333,0.5416666666666666,-0.1817083333333333,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Modularity,1,24,2.0,0.08333333333333333,3.33725,0.0,7.0,0.13905208333333335,0.0,0.2916666666666667,0.055718750000000025,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Modularity,2,24,2.0,0.08333333333333333,2.43725,0.0,6.0,0.10155208333333333,0.0,0.25,0.018218750000000006,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Modularity,3,24,4.0,0.16666666666666666,4.00475,1.0,8.0,0.16686458333333332,0.041666666666666664,0.3333333333333333,0.00019791666666665875,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Modularity,4,24,1.0,0.041666666666666664,1.9655,0.0,5.0,0.08189583333333333,0.0,0.20833333333333334,0.04022916666666667,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Modularity,5,24,3.0,0.125,2.70475,0.0,7.0,0.11269791666666666,0.0,0.2916666666666667,-0.012302083333333338,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Modularity,6,24,1.0,0.041666666666666664,2.9115,0.0,7.0,0.1213125,0.0,0.2916666666666667,0.07964583333333333,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Representationality,0,30,0.0,0.0,7.8545,2.0,15.0,0.26181666666666664,0.06666666666666667,0.5,0.26181666666666664,False
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Representationality,1,30,2.0,0.06666666666666667,3.89875,1.0,8.0,0.12995833333333334,0.03333333333333333,0.26666666666666666,0.06329166666666668,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Representationality,2,30,2.0,0.06666666666666667,2.946,0.0,7.0,0.09820000000000002,0.0,0.23333333333333334,0.03153333333333336,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Representationality,3,30,8.0,0.26666666666666666,4.968,1.0,10.0,0.16560000000000002,0.03333333333333333,0.3333333333333333,-0.10106666666666664,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Representationality,4,30,4.0,0.13333333333333333,2.507,0.0,6.0,0.08356666666666666,0.0,0.2,-0.04976666666666667,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Representationality,5,30,5.0,0.16666666666666666,3.60775,0.0,8.0,0.12025833333333334,0.0,0.26666666666666666,-0.046408333333333315,True
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Representationality,6,30,9.0,0.3,4.218,1.0,9.0,0.14060000000000003,0.03333333333333333,0.3,-0.15939999999999996,True
