table,fit_variant,seed,system,metric,refreshed,top_level,abs_diff,status
validation_cases,targeted_strong_lower_override,20260511.0,Chicken,rho_collapsed,0.985998572588115,0.986857700329246,0.0008591277411310605,diff
validation_cases,targeted_strong_lower_override,20260511.0,Chicken,rho_sampled_pi,0.9858559702966052,0.9864320919771792,0.0005761216805739711,diff
validation_cases,targeted_strong_lower_override,20260511.0,Chicken,abs_rho_collapsed_minus_sampled_pi,0.00014260229150975245,0.000425608352067,0.00028300606055724756,diff
validation_cases,targeted_strong_lower_override,20260511.0,Chicken,log_B_draw_mean,7.037433738927982,7.0621935573256085,0.024759818397626532,diff
validation_cases,targeted_strong_lower_override,20260511.0,Chicken,log_B_draw_median,6.9285266042999964,6.93529829442226,0.006771690122263863,diff
validation_cases,targeted_strong_lower_override,20260511.0,Chicken,log_B_draw_q05,4.416816693612938,4.308032222447624,0.10878447116531387,diff
validation_cases,targeted_strong_lower_override,20260511.0,Chicken,log_B_draw_q95,10.124706759272446,9.720559632122994,0.4041471271494519,diff
validation_cases,targeted_strong_lower_override,20260511.0,Chicken,log_B_eff,5.8639335369466075,5.928127756803209,0.0641942198566019,diff
validation_cases,targeted_strong_lower_override,20260511.0,Chicken,brier,0.00019603996957028572,0.0001727200406358,2.3319928934485728e-05,diff
validation_cases,targeted_strong_lower_override,20260511.0,Chicken,log_score,-0.014100372059946114,-0.0132294238745839,0.0008709481853622133,diff
validation_cases,targeted_strong_lower_override,20260511.0,Chicken,brier_improvement_vs_prior,0.6942484044748742,0.6942717244038087,2.3319928934451006e-05,diff
validation_cases,targeted_strong_lower_override,20260511.0,Chicken,log_score_improvement_vs_prior,1.7776590971681088,1.778530045353471,0.0008709481853621526,diff
validation_cases,targeted_strong_lower_override,20260511.0,LLMs,rho_collapsed,0.0007882340561387496,0.0006494870405678,0.00013874701557094963,diff
validation_cases,targeted_strong_lower_override,20260511.0,LLMs,rho_sampled_pi,0.0007486351698476614,0.0006737996297523,7.483554009536143e-05,diff
validation_cases,targeted_strong_lower_override,20260511.0,LLMs,abs_rho_collapsed_minus_sampled_pi,3.959888629108822e-05,2.4312589184566336e-05,1.5286297106521882e-05,diff
validation_cases,targeted_strong_lower_override,20260511.0,LLMs,log_B_draw_mean,-6.804889235375575,-6.814652464015743,0.009763228640167654,diff
validation_cases,targeted_strong_lower_override,20260511.0,LLMs,log_B_draw_median,-6.695125951185091,-6.678467270393554,0.01665868079153654,diff
validation_cases,targeted_strong_lower_override,20260511.0,LLMs,log_B_draw_q05,-9.786644645914306,-9.647159405334,0.13948524058030642,diff
validation_cases,targeted_strong_lower_override,20260511.0,LLMs,log_B_draw_q95,-4.094714425025086,-4.208830770391035,0.11411634536594928,diff
validation_cases,targeted_strong_lower_override,20260511.0,LLMs,log_B_eff,-5.5354890293429175,-5.729240064506335,0.19375103516341774,diff
validation_cases,targeted_strong_lower_override,20260511.0,LLMs,brier,6.213129272569455e-07,4.218334158655305e-07,1.99479511391415e-07,diff
validation_cases,targeted_strong_lower_override,20260511.0,LLMs,log_score,-0.00078854487594557,-0.0006496980486453,0.00013884682730026993,diff
validation_cases,targeted_strong_lower_override,20260511.0,LLMs,brier_improvement_vs_prior,0.02777715646485052,0.0277773559443619,1.9947951138132858e-07,diff
validation_cases,targeted_strong_lower_override,20260511.0,LLMs,log_score_improvement_vs_prior,0.18153301191800902,0.1816718587453092,0.00013884682730017084,diff
rho_recovery_summary,targeted_strong_lower_override,,ALL,mean_rho_R1,0.5098037310008411,0.5102332948714066,0.00042956387056547474,diff
rho_recovery_summary,targeted_strong_lower_override,,ALL,mean_rho_R0,0.002145135721327049,0.0020757622135415,6.937350778554903e-05,diff
rho_recovery_summary,targeted_strong_lower_override,,ALL,median_rho_R1,0.5098037310008411,0.5102332948714066,0.00042956387056547474,diff
